ticker,year,quarter,investCost,fromInvest,fromFinancial,fromSale,freeCashFlow
ABI,2022,3,-1,-35,0,22,152.0
ABC,2022,3,0,46,-137,82,-620.0
ABB,2022,3,-29,-16,0,-748,0.0
AAV,2022,3,0,41,-3,-40,66.0
AAT,2022,3,-1,-27,-13,39,89.0
AAS,2022,3,0,0,59,-23,510.0
AAM,2022,3,0,-28,0,4,18.0
AAA,2022,3,-6,-161,542,-57,591.0
ABI,2022,2,0,-40,0,80,205.0
ABC,2022,2,-1,6,14,-37,-482.0
ABB,2022,2,-110,-51,0,1021,0.0
AAV,2022,2,0,-41,56,-16,36.0
AAT,2022,2,-98,201,-52,-241,-6.0
AAS,2022,2,0,0,122,-328,662.0
AAM,2022,2,-3,-33,0,33,-12.0
AAA,2022,2,-61,-375,141,-310,759.0
ABI,2022,1,0,-7,0,0,249.0
ABC,2022,1,-1,6,-78,113,-668.0
ABB,2022,1,-21,-17,0,5911,0.0
AAV,2022,1,0,0,15,-14,41.0
AAT,2022,1,-2,1,78,-44,17.0
AAS,2022,1,-2,-1,6,52,390.0
AAM,2022,1,0,-28,0,11,-4.0
AAA,2022,1,-70,-668,214,19,434.0
ABI,2021,5,-17,-123,-15,137,255.0
ABC,2021,5,-14,11,-5,-5,-573.0
ABB,2021,5,-53,47,1291,-5915,0.0
AAV,2021,5,-10,19,349,-369,413.0
AAT,2021,5,-297,-297,322,48,-268.0
AAS,2021,5,-2,-2,480,-195,317.0
AAM,2021,5,-1,-2,-8,45,-38.0
AAA,2021,5,-669,-150,739,444,-7.0
ABI,2021,4,-8,-47,0,21,255.0
ABC,2021,4,-19,-65,56,-25,-573.0
ABB,2021,4,-10,32,1291,-187,0.0
AAV,2021,4,7,-60,408,-357,413.0
AAS,2021,4,0,0,0,239,317.0
AAM,2021,4,0,0,0,37,-38.0
AAA,2021,4,-68,181,-136,505,-7.0
ABI,2021,3,-1,-48,0,46,344.0
ABC,2021,3,-1,-23,38,9,10.0
AAV,2021,3,0,7,-2,-8,56.0
AAS,2021,3,-1,-1,480,-498,25.0
AAM,2021,3,0,3,-2,3,-11.0
AAA,2021,3,-389,-677,-192,98,11.0
ABI,2021,2,-5,-35,-15,69,289.0
ABC,2021,2,0,29,-29,10,22.0
ABB,2021,2,-44,-43,0,10251,0.0
AAV,2021,2,-1,0,-14,25,14.0
AAT,2021,2,-2,-2,0,-29,30.0
AAS,2021,2,-1,-1,0,216,-12.0
AAM,2021,2,0,0,-2,4,-23.0
AAA,2021,2,-198,636,467,144,205.0
ABI,2021,1,-2,6,0,2,289.0
ABC,2021,1,0,54,-69,16,20.0
ABB,2021,1,-3,-2,0,-14412,0.0
AAV,2021,1,-8,-5,-6,12,1.0
AAT,2021,1,0,0,-3,41,16.0
AAS,2021,1,0,0,0,-152,-1.0
AAM,2021,1,-1,-5,-4,1,-15.0
AAA,2021,1,-31,-266,472,-202,673.0
ABI,2020,5,-18,-212,-75,298,275.0
ABC,2020,5,-17,27,47,-131,172.0
ABB,2020,5,-92,-15,0,4289,0.0
AAV,2020,5,-4,-4,12,-24,60.0
AAT,2020,5,-30,35,-22,1,-16.0
AAS,2020,5,-1,0,21,49,24.0
AAM,2020,5,-1,34,2,-24,0.0
AAA,2020,5,-271,35,26,613,155.0
ABI,2020,4,-9,-55,0,37,275.0
ABC,2020,4,-13,34,69,-104,172.0
ABB,2020,4,-26,-7,0,15617,0.0
AAV,2020,4,-4,-4,1,3,60.0
AAT,2020,4,0,0,12,-11,-16.0
AAS,2020,4,0,0,-83,260,24.0
AAM,2020,4,0,24,0,-8,0.0
AAA,2020,4,-174,508,87,129,155.0
ABI,2020,3,0,-25,-30,60,272.0
ABC,2020,3,-1,-3,90,-107,144.0
ABB,2020,3,-29,57,0,-1888,0.0
AAV,2020,3,0,0,2,0,17.0
AAT,2020,3,0,0,-3,12,16.0
AAS,2020,3,0,0,103,-91,1.0
AAM,2020,3,1,9,4,-16,8.0
AAA,2020,3,-19,-120,0,91,371.0
ABI,2020,2,0,-130,0,122,255.0
ABC,2020,2,-2,-19,-19,20,21.0
ABB,2020,2,-31,-30,0,-4898,0.0
AAV,2020,2,0,1,3,-4,33.0
AAT,2020,2,-6,-6,15,-4,9.0
AAS,2020,2,0,0,0,34,
AAM,2020,2,-1,-4,2,2,-2.0
AAA,2020,2,-64,-326,-92,399,-46.0
ABI,2020,1,-9,-2,-45,80,252.0
ABC,2020,1,-1,16,-93,59,-23.0
ABB,2020,1,-7,-7,0,-4571,0.0
AAV,2020,1,0,0,6,-23,56.0
AAT,2020,1,-1,-1,-46,47,24.0
AAS,2020,1,0,0,1,-154,
AAM,2020,1,0,6,-3,-4,9.0
AAA,2020,1,-14,-7,11,-8,531.0
ABI,2019,5,-1,-246,-44,278,241.0
ABC,2019,5,-4,53,2,-52,93.0
ABB,2019,5,-121,6,0,10801,0.0
AAV,2019,5,-1,-79,154,-74,141.0
AAT,2019,5,-10,-10,-24,32,11.0
AAS,2019,5,-1,3,0,144,50.0
AAM,2019,5,-2,37,-8,-27,49.0
AAA,2019,5,-504,-860,17,489,318.0
ABI,2019,4,0,-59,0,31,241.0
