ticker,industryEn,loanGrowth,depositGrowth,netInterestIncomeGrowth,netInterestMargin,costToIncome,netIncomeTOI,businessOperation,avgROE,avgROA,last5yearsNetProfitGrowth,last5yearsRevenueGrowth,last5yearsOperatingProfitGrowth,last5yearsEBITDAGrowth,last5yearsFCFFGrowth,lastYearGrossProfitMargin,lastYearOperatingProfitMargin,lastYearNetProfitMargin,TOIGrowth
A32,Footwear,,,,,,,2.1,4,3,1,2,2,2,4,1,1,1,
AAA,Commodity Chemicals,,,,,,,2.6,2,2,4,5,3,5,1,1,1,1,
AAM,Farming & Fishing,,,,,,,1.1,1,1,1,1,1,1,1,1,1,2,
AAS,Investment Services,,,,,,,2.9,5,5,1,1,1,1,1,4,5,5,
AAT,Clothing & Accessories,,,,,,,2.8,1,2,5,5,5,1,1,2,3,3,
AAV,Real Estate Holding & Development,,,,,,,2.9,1,2,3,5,5,5,5,1,1,1,
ABB,Banks,3,2,3,3,1,4,3.0,3,3,5,,,,,,,,3
ABC,Mobile Telecommunications,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
ABI,Property & Casualty Insurance,,,,,,,3.9,5,3,4,3,5,5,4,4,3,3,
ABR,Business Support Services,,,,,,,4.0,2,3,5,5,5,5,1,5,4,5,
ABS,Specialty Retailers,,,,,,,2.3,2,2,5,5,3,1,1,1,1,1,
ABT,Farming & Fishing,,,,,,,1.7,2,3,1,1,1,1,1,2,2,3,
ACB,Banks,4,3,5,4,4,5,4.4,5,4,5,,,,,,,,5
ACC,Building Materials & Fixtures,,,,,,,2.0,2,2,1,1,1,2,5,2,2,3,
ACE,Building Materials & Fixtures,,,,,,,2.5,5,4,1,1,2,2,3,3,2,2,
ACG,Forestry,,,,,,,2.0,3,3,1,1,1,1,1,3,3,3,
ACL,Farming & Fishing,,,,,,,2.1,2,2,3,1,1,2,1,3,3,3,
ACM,General Mining,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
ACS,Heavy Construction,,,,,,,1.9,2,2,1,2,2,2,5,1,1,1,
ACV,Transportation Services,,,,,,,2.2,1,2,1,1,1,1,1,5,5,5,
ADC,Publishing,,,,,,,2.8,4,3,2,2,2,3,5,4,1,2,
ADP,Building Materials & Fixtures,,,,,,,2.2,4,5,1,1,1,1,2,2,2,2,
ADS,Clothing & Accessories,,,,,,,2.6,4,2,4,2,4,4,1,1,2,2,
AFX,Food Retailers & Wholesalers,,,,,,,1.9,2,2,5,1,1,2,1,1,1,2,
AG1,Clothing & Accessories,,,,,,,1.1,1,1,1,1,1,1,1,2,1,1,
AGE,Waste & Disposal Services,,,,,,,1.5,2,2,1,1,1,1,1,2,2,2,
AGF,Farming & Fishing,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
AGG,Real Estate Holding & Development,,,,,,,2.6,4,2,5,5,1,1,1,2,2,2,
AGM,Food Products,,,,,,,3.1,2,2,5,4,5,5,5,1,1,1,
AGP,Pharmaceuticals,,,,,,,3.0,3,3,2,2,3,4,5,4,3,2,
AGR,Investment Services,,,,,,,2.9,2,3,1,5,1,1,1,5,5,5,
AGX,Food Retailers & Wholesalers,,,,,,,2.6,3,4,2,2,4,4,4,1,1,1,
AIC,Property & Casualty Insurance,,,,,,,2.4,1,2,5,5,1,1,5,1,1,1,
ALT,Publishing,,,,,,,1.9,1,2,1,3,4,2,1,2,1,2,
ALV,Heavy Construction,,,,,,,2.5,2,2,4,4,2,5,1,1,1,2,
AMC,General Mining,,,,,,,2.0,3,3,1,1,1,1,1,5,2,2,
AMD,Real Estate Holding & Development,,,,,,,1.3,1,2,1,2,1,2,1,1,1,1,
AME,Electronic Equipment,,,,,,,3.2,2,2,5,5,5,5,5,1,1,1,
AMP,Pharmaceuticals,,,,,,,1.2,1,2,1,2,1,1,1,1,1,1,
AMS,Industrial Suppliers,,,,,,,2.9,2,2,4,5,3,3,5,1,2,2,
AMV,Medical Equipment,,,,,,,4.3,2,3,5,5,5,5,5,4,5,5,
ANT,Food Products,,,,,,,2.1,4,2,4,2,2,2,1,1,1,1,
ANV,Farming & Fishing,,,,,,,2.9,2,2,5,2,4,4,1,3,3,3,
APC,Biotechnology,,,,,,,2.0,1,2,1,2,1,2,3,4,3,1,
APF,Food Products,,,,,,,2.8,5,3,4,3,2,2,3,2,1,2,
APG,Investment Services,,,,,,,3.8,2,3,5,5,5,5,5,3,3,2,
APH,Containers & Packaging,,,,,,,1.2,1,2,1,1,1,1,1,2,1,1,
API,Real Estate Holding & Development,,,,,,,2.8,5,3,1,5,1,1,1,4,3,3,
APL,Industrial Machinery,,,,,,,1.6,3,2,1,2,2,2,1,1,1,1,
APP,Specialty Chemicals,,,,,,,1.7,2,2,1,4,1,1,1,2,1,1,
APS,Investment Services,,,,,,,3.9,5,5,5,5,5,5,5,1,1,1,
APT,Farming & Fishing,,,,,,,1.1,1,1,1,2,1,1,1,1,1,1,
ARM,Industrial Suppliers,,,,,,,1.4,2,2,1,2,1,1,1,2,1,1,
ART,Investment Services,,,,,,,4.2,1,2,5,5,5,5,5,5,5,5,
ASA,Personal Products,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
ASG,Transportation Services,,,,,,,1.4,1,2,1,1,1,1,1,2,2,2,
ASM,Farming & Fishing,,,,,,,3.5,2,2,5,5,5,5,5,2,2,2,
ASP,Gas Distribution,,,,,,,2.4,2,2,2,5,3,5,1,2,1,1,
AST,Specialty Retailers,,,,,,,1.4,1,1,1,1,1,1,1,5,1,1,
ATA,Farming & Fishing,,,,,,,1.1,1,1,1,1,1,1,1,2,1,1,
ATB,Heavy Construction,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
ATG,General Mining,,,,,,,1.5,1,1,5,1,1,1,1,1,1,1,
ATS,Restaurants & Bars,,,,,,,1.4,1,2,2,1,1,1,1,2,2,1,
AUM,Farming & Fishing,,,,,,,1.1,1,1,1,1,1,1,1,1,1,2,
AVC,Conventional Electricity,,,,,,,3.8,5,5,5,2,2,2,1,5,5,5,
AVF,Farming & Fishing,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
B82,Heavy Construction,,,,,,,1.4,1,2,1,1,1,1,1,2,3,1,
BAB,Banks,3,2,2,2,1,4,2.3,2,2,2,,,,,,,,3
BAF,Farming & Fishing,,,,,,,1.8,5,2,1,1,1,1,1,1,2,2,
BAL,Containers & Packaging,,,,,,,1.4,1,2,1,1,1,1,1,2,2,2,
BAX,Heavy Construction,,,,,,,4.8,5,3,5,5,5,5,5,5,5,5,
BBC,Food Products,,,,,,,1.5,1,2,1,1,1,1,1,3,1,3,
BBH,Containers & Packaging,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
BBM,Brewers,,,,,,,2.0,2,3,2,1,2,2,1,3,2,2,
BBS,Containers & Packaging,,,,,,,1.9,2,2,2,2,2,4,1,1,1,2,
BBT,Personal Products,,,,,,,2.3,4,4,1,2,1,1,5,3,1,1,
