ticker,year,quarter,investCost,fromInvest,fromFinancial,fromSale,freeCashFlow
TED,2022,5,-11,-13,4,13,
PCH,2022,5,-1,-4,7,3,
MDG,2022,5,-6,-5,15,-11,
M10,2022,5,-88,-220,86,110,
KOS,2022,5,-150,-148,388,-242,
DNM,2022,5,-21,-20,-6,34,
BRC,2022,4,-3,-3,-14,10,
YBM,2022,3,0,-1,21,-19,45.0
XMP,2022,3,0,0,-8,9,22.0
XMC,2022,3,0,2,175,-155,242.0
XHC,2022,3,-11,17,33,-47,15.0
XDH,2022,3,0,20,9,-89,72.0
X20,2022,3,-1,-2,-16,37,9.0
WSB,2022,3,-2,4,-29,33,90.0
WCS,2022,3,-2,-136,0,21,19.0
VUA,2022,3,-4,-5,36,-19,78.0
VTZ,2022,3,-28,-46,-6,44,
VTX,2022,3,-37,-34,16,15,-53.0
VTV,2022,3,0,-6,308,-304,348.0
VTS,2022,3,0,0,-3,0,-8.0
VTR,2022,3,0,-2,-50,42,120.0
VTQ,2022,3,1,-18,-33,54,25.0
VTP,2022,3,10,30,36,-2,380.0
VTO,2022,3,0,3,-64,42,258.0
VTL,2022,3,0,0,-17,15,51.0
VTJ,2022,3,0,-1,0,4,
VTH,2022,3,0,1,-220,216,4.0
VTG,2022,3,0,-29,-5,6,33.0
VTE,2022,3,0,0,6,-9,1.0
VTC,2022,3,0,-1,-54,48,-44.0
VTB,2022,3,0,-11,3,-5,10.0
VTA,2022,3,-3,-3,15,-15,14.0
VST,2022,3,-30,-29,-124,148,71.0
VSN,2022,3,0,-52,-169,150,126.0
VSM,2022,3,0,0,-1,6,19.0
VSI,2022,3,0,0,15,-21,25.0
VSH,2022,3,2,22,-349,146,1563.0
VSF,2022,3,4,174,-370,-273,127.0
VSC,2022,3,-11,368,0,-491,1132.0
VSA,2022,3,0,-1,0,-157,240.0
VRG,2022,3,0,17,-13,13,7.0
VRE,2022,3,-2128,-1790,11,1013,463.0
VRC,2022,3,0,185,-292,107,-110.0
VPS,2022,3,-1,2,-20,6,12.0
VPI,2022,3,-356,-397,-266,679,-310.0
VPH,2022,3,-48,-21,57,-68,143.0
VPG,2022,3,1,4,264,-362,586.0
VPD,2022,3,0,0,-75,42,247.0
VPB,2022,3,-37,-24,300,-13670,0.0
VPA,2022,3,0,0,0,2,-45.0
VOS,2022,3,-1,-2,-383,282,643.0
VOC,2022,3,0,97,16,-329,402.0
VNY,2022,3,-1,-1,0,-5,
VNT,2022,3,0,-31,58,30,3.0
VNS,2022,3,-220,-175,58,109,-140.0
VNR,2022,3,-5,1,-196,20,320.0
VNP,2022,3,0,65,-13,-107,51.0
VNM,2022,3,-275,-447,-5437,4235,8035.0
VNL,2022,3,-2,7,-5,25,35.0
VNG,2022,3,60,45,-23,-55,156.0
VNE,2022,3,5,96,-682,572,-533.0
VND,2022,3,-21,-21,-3420,4419,1036.0
VNC,2022,3,-3,-2,-1,20,29.0
VNB,2022,3,0,23,0,0,36.0
VNA,2022,3,-2,-2,-73,38,307.0
VMS,2022,3,0,-1,0,15,2.0
VMD,2022,3,0,7,-97,99,-87.0
VMC,2022,3,-25,-26,76,100,-102.0
VLW,2022,3,-9,-28,-31,58,63.0
VLG,2022,3,0,2,1,4,-3.0
VLC,2022,3,-43,314,0,27,176.0
VLB,2022,3,-12,-34,-94,-250,-84.0
VLA,2022,3,0,0,0,1,12.0
VKC,2022,3,0,22,-23,1,-207.0
VJC,2022,3,-56,-142,589,-1405,3040.0
VIX,2022,3,-2,-1,-330,-1002,564.0
VIW,2022,3,1,-9,10,-19,39.0
VIT,2022,3,-165,-165,121,16,-53.0
VIP,2022,3,5,-86,-15,133,33.0
VIN,2022,3,0,-1,0,-5,147.0
VIG,2022,3,1,1,-6,-27,18.0
VIF,2022,3,-18,76,-220,-45,482.0
VID,2022,3,1,36,12,-54,49.0
VIC,2022,3,-24119,-12805,13183,-16123,4695.0
VIB,2022,3,-86,-84,0,-17869,0.0
VHM,2022,3,-3216,-3114,0,-11956,60557.0
VHL,2022,3,-4,-4,-29,-17,42.0
VHG,2022,3,0,0,0,0,
VHF,2022,3,0,-23,-25,48,-43.0
VHE,2022,3,0,0,9,-12,19.0
VHD,2022,3,-1,-16,0,16,
