ticker,industryEn,loanDeposit,badLoanGrossLoan,badLoanAsset,provisionBadLoan,financialHealth,netDebtEquity,currentRatio,quickRatio,interestCoverage,netDebtEBITDA
A32,,,,,,3.4,4,4,4,3,3
AAA,,,,,,3.7,4,4,4,3,4
AAM,,,,,,3.4,4,3,3,3,3
AAS,,1,2,3,2,4.1,4,5,5,4,4
AAT,,,,,,3.4,4,4,4,3,3
AAV,,,,,,3.6,4,4,4,3,4
ABB,,2,3,4,3,3.0,,,,,
ABC,,,,,,4.3,4,4,5,4,4
ABI,,,,,,3.6,5,3,4,1,5
ABR,,,,,,3.5,4,4,4,3,3
ABS,,,,,,3.4,4,4,4,3,3
ABT,,,,,,3.4,4,3,3,3,3
ACB,,2,3,4,3,3.0,,,,,
ACC,,,,,,3.0,4,3,3,2,3
ACE,,,,,,3.0,4,3,3,2,3
ACG,,,,,,3.2,3,3,3,3,3
ACL,,,,,,3.4,4,3,3,3,3
ACM,,,,,,3.2,3,3,3,3,3
ACS,,,,,,3.0,4,3,3,2,3
ACV,,,,,,3.5,4,4,4,3,3
ADC,,,,,,3.7,5,4,4,3,3
ADG,,,,,,3.7,5,4,4,3,3
ADP,,,,,,3.0,4,3,3,2,3
ADS,,,,,,3.4,4,4,4,3,3
AFX,,,,,,3.4,4,4,4,3,3
AG1,,,,,,3.4,4,4,4,3,3
AGE,,,,,,3.5,4,4,4,3,3
AGF,,,,,,3.4,4,3,3,3,3
AGG,,,,,,3.6,4,4,4,3,4
AGM,,,,,,3.4,4,3,3,3,3
AGP,,,,,,3.6,4,4,4,3,3
AGR,,1,2,3,2,4.1,4,5,5,4,4
AGX,,,,,,3.4,4,4,4,3,3
AIC,,,,,,3.6,5,3,4,1,5
ALT,,,,,,3.7,5,4,4,3,3
ALV,,,,,,3.0,4,3,3,2,3
AMC,,,,,,3.2,3,3,3,3,3
AMD,,,,,,3.6,4,4,4,3,4
AME,,,,,,3.5,4,4,4,3,3
AMP,,,,,,3.6,4,4,4,3,3
AMS,,,,,,3.5,4,4,4,3,3
AMV,,,,,,3.6,4,4,4,3,3
ANT,,,,,,3.4,4,3,3,3,3
ANV,,,,,,3.4,4,3,3,3,3
APC,,,,,,3.6,4,4,4,3,3
APF,,,,,,3.4,4,3,3,3,3
APG,,1,2,3,2,4.1,4,5,5,4,4
APH,,,,,,3.5,4,4,4,3,3
API,,,,,,3.6,4,4,4,3,4
APL,,,,,,3.5,4,4,4,3,3
APP,,,,,,3.7,4,4,4,3,4
APS,,1,2,3,2,4.1,4,5,5,4,4
APT,,,,,,3.4,4,3,3,3,3
ARM,,,,,,3.5,4,4,4,3,3
ART,,1,2,3,2,4.1,4,5,5,4,4
ASA,,,,,,3.4,4,4,4,3,3
ASG,,,,,,3.5,4,4,4,3,3
ASM,,,,,,3.4,4,3,3,3,3
ASP,,,,,,3.8,4,4,4,4,4
AST,,,,,,3.4,4,4,4,3,3
ATA,,,,,,3.4,4,3,3,3,3
ATB,,,,,,3.0,4,3,3,2,3
ATG,,,,,,3.2,3,3,3,3,3
ATS,,,,,,3.2,4,3,4,2,3
AUM,,,,,,3.4,4,3,3,3,3
AVC,,,,,,3.8,4,4,4,4,4
AVF,,,,,,3.4,4,3,3,3,3
B82,,,,,,3.0,4,3,3,2,3
BAB,,2,3,4,3,3.0,,,,,
BAF,,,,,,3.4,4,3,3,3,3
BAL,,,,,,3.5,4,4,4,3,3
BAX,,,,,,3.0,4,3,3,2,3
BBC,,,,,,3.4,4,3,3,3,3
BBH,,,,,,3.5,4,4,4,3,3
BBM,,,,,,3.4,4,3,3,3,3
BBS,,,,,,3.5,4,4,4,3,3
BBT,,,,,,3.4,4,4,4,3,3
BCA,,,,,,3.2,3,3,3,3,3
BCB,,,,,,3.2,3,3,3,3,3
BCC,,,,,,3.0,4,3,3,2,3
BCE,,,,,,3.0,4,3,3,2,3
BCF,,,,,,3.4,4,3,3,3,3
BCG,,1,2,3,2,4.1,4,5,5,4,4
BCM,,,,,,3.6,4,4,4,3,4
BCP,,,,,,3.6,4,4,4,3,3
BCV,,,,,,3.2,4,3,4,2,3
BDB,,,,,,3.7,5,4,4,3,3
BDG,,,,,,3.4,4,4,4,3,3
BDT,,,,,,3.0,4,3,3,2,3
BDW,,,,,,3.8,4,4,4,4,4
BED,,,,,,3.7,5,4,4,3,3
BEL,,,,,,3.4,4,4,4,3,3
BFC,,,,,,3.7,4,4,4,3,4
BGW,,,,,,3.8,4,4,4,4,4
BHA,,,,,,3.8,4,4,4,4,4
BHC,,,,,,3.0,4,3,3,2,3
BHG,,,,,,3.4,4,3,3,3,3
BHK,,,,,,3.4,4,3,3,3,3
BHN,,,,,,3.4,4,3,3,3,3
BHP,,,,,,3.4,4,3,3,3,3
BHT,,,,,,3.0,4,3,3,2,3
BIC,,,,,,3.6,5,3,4,1,5
