,ticker,stockRating,valuation,financialHealth,businessModel,businessOperation,rsRating,taScore,highestPrice,lowestPrice,priceChange3m,priceChange1y,beta,alpha,businessModel_delme,businessEfficiency,assetQuality,cashFlowQuality,bom,businessAdministration,productService,businessAdvantage,companyPosition,industry,operationRisk,industryEn,loanGrowth,depositGrowth,netInterestIncomeGrowth,netInterestMargin,costToIncome,netIncomeTOI,businessOperation_delme,avgROE,avgROA,last5yearsNetProfitGrowth,last5yearsRevenueGrowth,last5yearsOperatingProfitGrowth,last5yearsEBITDAGrowth,last5yearsFCFFGrowth,lastYearGrossProfitMargin,lastYearOperatingProfitMargin,lastYearNetProfitMargin,TOIGrowth,industryEn_delme,loanDeposit,badLoanGrossLoan,badLoanAsset,provisionBadLoan,financialHealth_delme,netDebtEquity,currentRatio,quickRatio,interestCoverage,netDebtEBITDA,industryEn_delme,valuation_delme,pe,pb,ps,evebitda,dividendRate,industryEn_delme,loanDeposit_delme,badLoanGrossLoan_delme,badLoanAsset_delme,provisionBadLoan_delme,financialHealth_delme,netDebtEquity_delme,currentRatio_delme,quickRatio_delme,interestCoverage_delme,netDebtEBITDA_delme
0,A32,,4.0,2.6,3.5,2.1,,,34031.0,24314.7,0.068,0.097,-0.01,0.0008,3.5,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,Footwear,,,,,,,2.1,4.0,3.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,,Footwear,,,,,2.6,5.0,3.0,3.0,1.0,1.0,Footwear,4.0,4.0,4.0,5.0,5.0,1.0,,,,,,3.4,4.0,4.0,4.0,3.0,3.0
1,AAA,2.6,3.6,4.0,3.2,2.6,1.4,1.0,22800.0,5690.0,-0.338,-0.559,1.53,-0.0013,3.2,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,Commodity Chemicals,,,,,,,2.6,2.0,2.0,4.0,5.0,3.0,5.0,1.0,1.0,1.0,1.0,,Commodity Chemicals,,,,,4.0,4.0,4.0,4.0,4.0,4.0,Commodity Chemicals,3.6,3.0,5.0,5.0,3.0,2.0,,,,,,3.7,4.0,4.0,4.0,3.0,4.0
2,AAM,3.3,3.6,5.0,,1.1,3.4,,17900.0,9290.0,-0.041,-0.071,0.44,0.0007,,,,,,,,,,,,Farming & Fishing,,,,,,,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,Farming & Fishing,,,,,5.0,5.0,5.0,5.0,5.0,5.0,Farming & Fishing,3.6,4.0,4.0,4.0,4.0,1.0,,,,,,3.4,4.0,3.0,3.0,3.0,3.0
3,AAS,2.9,4.0,5.0,2.8,2.9,1.8,1.0,35528.0,7066.0,-0.39,-0.64,1.33,-0.0014,2.8,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,Investment Services,,,,,,,2.9,5.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,5.0,,Investment Services,,,,,5.0,5.0,5.0,5.0,5.0,5.0,Investment Services,4.0,5.0,4.0,3.0,5.0,1.0,,1.0,2.0,3.0,2.0,4.1,4.0,5.0,5.0,4.0,4.0
4,AAT,2.9,4.0,4.8,3.0,2.8,1.5,1.0,18866.3,4800.0,-0.473,-0.676,0.85,-0.003,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Clothing & Accessories,,,,,,,2.8,1.0,2.0,5.0,5.0,5.0,1.0,1.0,2.0,3.0,3.0,,Clothing & Accessories,,,,,4.8,4.0,5.0,5.0,5.0,5.0,Clothing & Accessories,4.3,5.0,5.0,5.0,4.0,1.0,,,,,,3.4,4.0,4.0,4.0,3.0,3.0
5,AAV,2.4,2.3,3.8,3.5,2.9,1.0,1.0,24734.7,2800.0,-0.354,-0.775,1.91,-0.0026,3.5,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,Real Estate Holding & Development,,,,,,,2.9,1.0,2.0,3.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,,Real Estate Holding & Development,,,,,3.8,4.0,5.0,5.0,4.0,1.0,Real Estate Holding & Development,2.3,1.0,5.0,3.0,1.0,1.0,,,,,,3.6,4.0,4.0,4.0,3.0,4.0
6,ABB,2.6,4.3,2.2,3.0,3.0,2.2,1.0,18095.0,6179.0,-0.248,-0.463,0.87,-0.0011,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Banks,3.0,2.0,3.0,3.0,1.0,4.0,3.0,3.0,3.0,5.0,,,,,,,,3.0,Banks,1.0,3.0,4.0,1.0,2.2,,,,,,Banks,4.3,5.0,5.0,,,1.0,,2.0,3.0,4.0,3.0,3.0,,,,,
7,ABC,2.6,3.5,3.8,3.5,1.0,1.0,,15572.0,4543.0,-0.522,-0.663,0.21,-0.0034,3.5,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,Mobile Telecommunications,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Mobile Telecommunications,,,,,3.8,4.0,2.0,3.0,5.0,5.0,Mobile Telecommunications,3.5,5.0,1.0,5.0,5.0,1.0,,,,,,4.3,4.0,4.0,5.0,4.0,4.0
8,ABI,2.5,2.1,4.0,3.0,3.9,1.2,1.0,51726.3,27676.4,-0.129,-0.306,0.54,-0.0007,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Property & Casualty Insurance,,,,,,,3.9,5.0,3.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,3.0,,Property & Casualty Insurance,,,,,4.0,5.0,4.0,5.0,1.0,5.0,Property & Casualty Insurance,2.1,1.0,3.0,3.0,2.0,2.0,,,,,,3.6,5.0,3.0,4.0,1.0,5.0
9,ABR,3.2,3.4,4.2,3.5,4.0,1.0,,29500.0,8660.0,-0.22,-0.561,0.19,-0.0028,3.5,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,Business Support Services,,,,,,,4.0,2.0,3.0,5.0,5.0,5.0,5.0,1.0,5.0,4.0,5.0,,Business Support Services,,,,,4.2,5.0,5.0,5.0,1.0,5.0,Business Support Services,3.4,4.0,4.0,2.0,4.0,1.0,,,,,,3.5,4.0,4.0,4.0,3.0,3.0
