,result
0,
1,
2,
3,
4,324.0
5,-544.0
6,-435.0
7,1033.0
8,550.0
9,-771.0
10,1247.0
11,4.0
12,674.0
13,724.0
14,-29.0
15,-19.0
16,-4.0
17,-354.0
18,118.0
19,-38.0
20,-211.0
21,-162.0
22,137.0
23,-9.0
24,45.0
25,183.0
26,-82.0
27,102.0
28,270.0
29,24.0
30,-265.0
31,74.0
32,-64.0
33,192.0
34,4.0
35,-41.0
36,-218.0
37,134.0
38,242.0
39,-25.0
40,35.0
41,-121.0
42,205.0
43,233.0
44,46.0
45,8.0
46,-79.0
47,27.0
48,92.0
49,-8.0
50,-51.0
51,-6.0
52,70.0
53,92.0
54,-13.0
55,9.0
56,-17.0
57,13.0
58,-10.0
59,23.0
60,12.0
61,-12.0
62,-58.0
63,-39.0
64,-18.0
65,-37.0
66,-55.0
67,73.0
68,-5.0
69,8.0
70,-24.0
71,0.0
72,-17.0
73,35.0
74,37.0
75,4.0
76,2.0
77,-8.0
78,12.0
79,16.0
80,-3.0
81,0.0
82,-1.0
83,2.0
84,11.0
85,-16.0
86,1.0
87,8.0
88,-3.0
89,-4.0
90,-25.0
91,2.0
92,24.0
93,0.0
94,-28.0
95,10.0
96,2.0
97,17.0
98,-15.0
99,-1.0
100,11.0
101,-15.0
102,-9.0
103,-28.0
104,-3.0
105,-4.0
106,-36.0
107,9.0
108,0.0
109,-13.0
110,8.0
111,-5.0
112,10.0
113,11.0
114,26.0
115,26.0
116,-4.0
117,-31.0
118,-7.0
119,-12.0
120,-23.0
121,14.0
122,15.0
123,-27.0
124,-20.0
125,-15.0
126,3.0
127,4.0
128,-53.0
129,-53.0
130,-57.0
131,-23.0
132,-6.0
133,66.0
134,
135,
136,15.0
137,0.0
138,-45.0
139,
140,
141,28.0
142,4.0
143,
144,
145,
146,
147,
148,36.0
149,-206.0
150,57.0
151,283.0
152,239.0
153,-19.0
154,215.0
155,-152.0
156,70.0
157,177.0
158,12.0
159,34.0
160,-153.0
161,147.0
162,
163,
164,
165,
166,
167,-1.0
168,-92.0
169,35.0
170,73.0
171,
172,
173,-31.0
174,38.0
175,14.0
176,1.0
177,9.0
178,5.0
179,0.0
180,-2.0
181,8.0
182,6.0
183,10.0
184,3.0
185,6.0
186,2.0
187,
188,0.0
189,-1.0
190,0.0
191,-1.0
192,-2.0
193,-1.0
194,1.0
195,-1.0
196,-9.0
197,-3.0
198,11.0
199,1.0
200,-16.0
201,0.0
202,2.0
203,0.0
204,-17.0
205,1.0
206,5.0
207,-18.0
208,26.0
209,-13.0
210,17.0
211,-11.0
212,22.0
213,4.0
214,2.0
215,-14.0
216,-12.0
217,4.0
218,-16.0
219,12.0
220,-7.0
221,
222,
223,7.0
224,12.0
225,-764.0
226,970.0
227,5894.0
228,-4577.0
229,1136.0
230,
231,10208.0
232,-14414.0
233,4274.0
