,result
0,2
1,3
2,-1
3,132
4,-2
5,-1
6,0
7,1
8,0
9,-2
10,-28
11,-20
12,1
13,-6
14,134
15,1
16,18
17,-3
18,6
19,0
20,2
21,19
22,-20
23,-3
24,0
25,1
26,-1
27,29
28,0
29,1
30,11
31,0
32,-1
33,52
34,0
35,0
36,-20
37,-170
38,-379
39,1
40,-17
41,-338
42,-185
43,-3
44,41
45,-27
46,-3
47,0
48,-13
49,0
50,1
51,-97
52,0
53,31
54,-45
55,-6
56,-65
57,172
58,-9
59,15
60,-91
61,0
62,-1
63,-23
64,0
65,1
66,-7
67,1
68,19
69,-2
70,-357
71,22
72,0
73,-22
74,86
75,-1
76,10
77,0
78,91
79,1
80,0
81,-94
82,-35
83,-11314
84,-2
85,-102
86,0
87,0
88,23
89,0
90,15
91,105
92,14
93,-222
94,-1
95,25
96,-9
97,-154
98,69
99,394
100,-3
101,-12
102,-1
103,-92
104,-2424
105,1
106,0
107,-2
108,0
109,-3
110,-2
111,-3
112,-41
113,0
114,0
115,37
116,-1
117,-34
118,0
119,0
120,252
121,0
122,-294
123,0
124,-1
125,-5
126,-2
127,43
128,-2
129,0
130,0
131,2
132,-11
133,-8
134,-1
135,0
136,0
137,0
138,0
139,0
140,0
141,30
142,0
143,0
144,59
145,0
146,222
147,-6
148,-90
149,-20
150,-11
151,4
152,76
153,0
154,13
155,0
156,41
157,0
158,-44
159,29
160,141
161,0
162,20
163,0
164,-3
165,0
166,0
167,3
168,207
169,0
170,8
171,-1
172,20
173,-4
174,-4
175,2
176,0
177,50
178,10
179,30
180,0
181,-272
182,0
183,301
184,-7
185,-260
186,-55
187,0
188,9
189,236
190,112
191,0
192,0
193,0
194,-228
195,-133
196,188
197,1
198,69
199,-1
200,-3
201,0
202,-33
203,-42
204,-2
205,73
206,0
207,399
208,-25
209,-1
210,-1
211,-3
212,16
213,1
214,-349
215,2
216,4
217,-19
218,2
219,0
220,-31
221,-8
222,-1
223,0
224,0
225,-29
226,0
227,12
228,350
229,0
230,92
231,-20
232,4
233,12
234,0
235,0
236,-2
237,-4
238,1
239,44
240,800
241,-7
242,0
243,38
244,-68
245,0
246,10
247,147
248,15
249,-19
250,-12
251,-4
252,48
253,-16
254,-7
255,-28
256,4
257,-17
258,-1
259,10
260,-1
261,2
262,-4
263,7
264,-26
265,0
266,-2
267,0
268,-531
269,-29
270,8
271,-24
272,-1
273,-180
274,0
275,-6
276,-4
277,-1
278,0
279,1
280,35
281,-18
282,1
283,-418
284,9
285,2
286,0
287,-1
288,-1
289,5
290,45
291,-1137
292,-10
293,-26
294,0
295,0
296,3
297,-736
298,-6
299,-41
300,47
301,-1
302,0
303,58
304,-58
305,0
306,-1
307,0
308,-20
309,30
310,91
311,7
312,-104
313,137
314,4
315,7
316,-7
317,0
318,-5
319,0
320,-119
321,0
322,9
323,15
324,-2
325,0
326,0
327,-2
328,8
329,0
330,0
331,8
332,-2
333,0
334,0
335,0
336,0
337,3
338,107
339,139
340,-37
341,0
342,0
343,-10
344,-23
345,0
346,-2
347,0
348,128
349,-3
350,0
351,0
352,-184
353,-1
354,-1
355,-60
356,-330
357,12
358,2190
359,-24
360,0
361,5
362,0
363,-10
364,0
365,9
366,18
367,22
368,0
369,-3
370,0
371,408
372,-2
373,16
374,0
375,-234
376,0
377,-76
378,-3
379,0
380,0
381,0
382,-3
383,0
384,0
385,-2
386,-4
387,-19
388,0
389,-140
390,1378
391,13
392,-191
393,-77
394,-1236
395,-4
396,-321
397,-300
398,11
399,11
400,23
401,-11
402,0
403,-156
404,-32
405,0
406,-1
407,2
408,-26
409,0
410,0
411,-59
412,0
413,-46
414,0
415,172
416,0
417,-7
418,-11
419,16
420,0
421,0
422,-2
423,-3
424,8
425,-128
426,16
427,-269
428,318
429,0
430,-2
431,-20
432,133
433,36
434,245
435,26
436,19
437,0
438,0
439,-88
440,-1
441,0
442,-2416
443,6
444,-121
445,0
446,0
447,0
448,0
449,12
450,0
451,-1
452,0
453,34
454,188
455,0
456,9
457,35
458,-325
459,2
460,-1
461,-13
462,-3
463,58
464,0
465,0
466,568
467,10
468,-3
469,23
470,-817
471,-39
472,0
473,-2
474,0
475,21
476,-2
477,0
478,155
479,6
480,50
481,12
482,-190
483,0
484,0
485,-61
486,-116
487,0
488,165
489,0
490,-637
491,-145
492,0
493,4
494,-2121
495,0
496,2
497,-25
498,-138
499,9
500,-310
501,404
502,0
503,0
504,0
505,-1
506,-214
507,-3
508,0
509,0
510,0
511,1
512,-1
513,1
514,-79
515,0
516,230
517,-5
518,0
519,0
520,0
521,-18
522,-1
523,-5
524,-18
525,-42
526,0
527,30
