ticker,industryEn,loanDeposit,badLoanGrossLoan,badLoanAsset,provisionBadLoan,financialHealth,netDebtEquity,currentRatio,quickRatio,interestCoverage,netDebtEBITDA
A32,Footwear,,,,,2.6,5,3,3,1,1
AAA,Commodity Chemicals,,,,,4.0,4,4,4,4,4
AAM,Farming & Fishing,,,,,5.0,5,5,5,5,5
AAS,Investment Services,,,,,5.0,5,5,5,5,5
AAT,Clothing & Accessories,,,,,4.8,4,5,5,5,5
AAV,Real Estate Holding & Development,,,,,3.8,4,5,5,4,1
ABB,Banks,1,3,4,1,2.2,,,,,
ABC,Mobile Telecommunications,,,,,3.8,4,2,3,5,5
ABI,Property & Casualty Insurance,,,,,4.0,5,4,5,1,5
ABR,Business Support Services,,,,,4.2,5,5,5,1,5
ABS,Specialty Retailers,,,,,3.2,3,4,5,3,1
ABT,Farming & Fishing,,,,,4.4,4,4,4,5,5
ACB,Banks,1,4,5,5,3.6,,,,,
ACC,Building Materials & Fixtures,,,,,3.8,4,5,5,4,1
ACE,Building Materials & Fixtures,,,,,3.2,4,3,3,5,1
ACG,Forestry,,,,,4.8,4,5,5,5,5
ACL,Farming & Fishing,,,,,4.0,4,4,2,5,5
ACM,General Mining,,,,,2.8,4,2,2,1,5
ACS,Heavy Construction,,,,,2.0,2,3,3,1,1
ACV,Transportation Services,,,,,4.8,4,5,5,5,5
ADC,Publishing,,,,,3.8,5,4,4,1,5
ADG,Media Agencies,,,,,4.6,4,5,5,5,4
ADP,Building Materials & Fixtures,,,,,4.2,5,5,5,1,5
ADS,Clothing & Accessories,,,,,3.2,2,3,3,5,3
AFX,Food Retailers & Wholesalers,,,,,3.4,3,4,4,5,1
AG1,Clothing & Accessories,,,,,3.6,4,3,2,5,4
AGE,Waste & Disposal Services,,,,,3.6,5,3,4,1,5
AGF,Farming & Fishing,,,,,2.0,5,1,2,1,1
AGG,Real Estate Holding & Development,,,,,4.2,4,4,3,5,5
AGM,Food Products,,,,,2.2,1,4,4,1,1
AGP,Pharmaceuticals,,,,,3.2,2,3,3,4,4
AGR,Investment Services,,,,,4.0,4,5,5,1,5
AGX,Food Retailers & Wholesalers,,,,,3.2,4,5,5,1,1
AIC,Property & Casualty Insurance,,,,,3.6,5,3,4,1,5
ALT,Publishing,,,,,5.0,5,5,5,5,5
ALV,Heavy Construction,,,,,4.2,5,5,5,5,1
AMC,General Mining,,,,,4.4,5,3,4,5,5
AMD,Real Estate Holding & Development,,,,,3.2,4,5,5,1,1
AME,Electronic Equipment,,,,,2.6,3,3,3,2,2
AMP,Pharmaceuticals,,,,,2.4,2,3,3,3,1
AMS,Industrial Suppliers,,,,,2.6,2,3,2,3,3
AMV,Medical Equipment,,,,,5.0,5,5,5,5,5
ANT,Food Products,,,,,2.2,3,3,3,1,1
ANV,Farming & Fishing,,,,,3.4,3,3,2,5,4
APC,Biotechnology,,,,,3.8,4,5,5,2,3
APF,Food Products,,,,,3.6,2,3,3,5,5
APG,Investment Services,,,,,5.0,5,5,5,5,5
APH,Containers & Packaging,,,,,3.6,3,4,4,3,4
API,Real Estate Holding & Development,,,,,3.6,3,3,3,5,4
APL,Industrial Machinery,,,,,2.2,2,3,4,1,1
APP,Specialty Chemicals,,,,,3.2,3,3,3,4,3
APS,Investment Services,,,,,4.2,5,5,5,1,5
APT,Farming & Fishing,,,,,2.0,5,1,2,1,1
ARM,Industrial Suppliers,,,,,4.2,4,3,4,5,5
ART,Investment Services,,,,,3.4,5,5,1,1,5
ASA,Personal Products,,,,,5.0,5,5,5,5,5
ASG,Transportation Services,,,,,4.8,4,5,5,5,5
ASM,Farming & Fishing,,,,,3.0,3,3,3,4,2
ASP,Gas Distribution,,,,,1.8,2,2,3,1,1
AST,Specialty Retailers,,,,,4.2,5,5,5,1,5
ATA,Farming & Fishing,,,,,2.8,5,1,2,1,5
ATB,Heavy Construction,,,,,3.2,3,3,4,1,5
ATG,General Mining,,,,,4.0,4,5,5,1,5
ATS,Restaurants & Bars,,,,,5.0,5,5,5,5,5
AUM,Farming & Fishing,,,,,3.0,5,4,4,1,1
AVC,Conventional Electricity,,,,,4.8,4,5,5,5,5
AVF,Farming & Fishing,,,,,2.8,5,1,2,1,5
B82,Heavy Construction,,,,,2.0,2,3,2,2,1
BAB,Banks,2,5,5,5,4.1,,,,,
BAF,Farming & Fishing,,,,,4.0,4,3,3,5,5
BAL,Containers & Packaging,,,,,4.2,5,5,5,1,5
BAX,Heavy Construction,,,,,4.2,5,5,5,1,5
BBC,Food Products,,,,,4.0,4,3,4,5,4
BBH,Containers & Packaging,,,,,3.4,5,5,5,1,1
BBM,Brewers,,,,,3.6,5,4,3,1,5
BBS,Containers & Packaging,,,,,2.8,2,3,3,3,3
BBT,Personal Products,,,,,3.0,3,5,5,1,1
BCA,Steel,,,,,2.4,3,3,3,2,1
BCB,Coal,,,,,2.2,5,1,2,2,1
BCC,Building Materials & Fixtures,,,,,3.6,4,2,2,5,5
BCE,Heavy Construction,,,,,4.0,4,5,5,1,5
BCF,Food Products,,,,,5.0,5,5,5,5,5
BCG,Specialty Finance,,,,,3.2,2,5,5,3,1
BCM,Real Estate Holding & Development,,,,,2.8,3,3,2,4,2
BCP,Pharmaceuticals,,,,,3.0,4,3,2,1,5
BCV,Hotels,,,,,2.4,5,2,3,1,1
BDB,Publishing,,,,,2.6,2,3,2,5,1
BDG,Clothing & Accessories,,,,,4.2,4,4,3,5,5
BDT,Building Materials & Fixtures,,,,,3.4,3,3,3,5,3
BDW,Water,,,,,4.4,4,4,4,5,5
BED,Publishing,,,,,3.6,5,4,3,1,5
BEL,Consumer Electronics,,,,,3.8,5,5,5,1,3
BFC,Specialty Chemicals,,,,,3.2,2,3,2,5,4
BGW,Water,,,,,4.2,5,5,5,1,5
BHA,Conventional Electricity,,,,,3.2,2,3,4,3,4
BHC,Building Materials & Fixtures,,,,,2.6,5,1,2,1,4
BHG,Soft Drinks,,,,,3.0,3,3,3,5,1
BHK,Brewers,,,,,2.8,4,2,2,5,1
BHN,Brewers,,,,,5.0,5,5,5,5,5
BHP,Brewers,,,,,2.8,4,2,2,5,1
BHT,Heavy Construction,,,,,3.2,5,2,3,1,5
BIC,Property & Casualty Insurance,,,,,3.6,5,3,4,1,5
BID,Banks,1,4,5,5,3.6,,,,,
BIG,Real Estate Services,,,,,2.0,3,2,3,1,1
BII,Real Estate Holding & Development,,,,,3.4,4,3,4,1,5
BIO,Pharmaceuticals,,,,,3.4,5,5,5,1,1
BKC,General Mining,,,,,3.4,2,3,3,5,4
BKG,Personal Products,,,,,4.8,4,5,5,5,5
BKH,Food Products,,,,,2.6,4,4,3,1,1
BLF,Farming & Fishing,,,,,2.6,2,3,2,1,5
BLI,Property & Casualty Insurance,,,,,3.6,5,3,4,1,5
BLN,Travel & Tourism,,,,,2.4,2,4,4,1,1
BLT,Food Products,,,,,3.2,4,5,5,1,1
BLW,Water,,,,,4.2,5,5,5,1,5
BMC,General Mining,,,,,4.2,5,5,5,1,5
BMD,Waste & Disposal Services,,,,,3.2,5,4,5,1,1
BMF,Gas Distribution,,,,,4.0,3,4,5,5,3
BMG,Clothing & Accessories,,,,,3.2,5,5,4,1,1
BMI,Property & Casualty Insurance,,,,,3.6,5,3,4,1,5
BMJ,General Mining,,,,,5.0,5,5,5,5,5
BMN,Heavy Construction,,,,,3.4,4,3,4,5,1
BMP,Building Materials & Fixtures,,,,,5.0,5,5,5,5,5
BMS,Investment Services,,,,,5.0,5,5,5,5,5
BMV,Food Products,,,,,4.2,5,4,3,4,5
BNA,Food Products,,,,,3.8,3,4,3,5,4
BNW,Water,,,,,4.8,4,5,5,5,5
BOT,Heavy Construction,,,,,1.6,1,2,3,1,1
BPC,Containers & Packaging,,,,,3.4,4,4,5,3,1
BQB,Brewers,,,,,3.6,5,4,3,1,5
BRC,Commodity Chemicals,,,,,4.4,4,4,4,5,5
BRR,Commodity Chemicals,,,,,4.2,5,3,3,5,5
BRS,Waste & Disposal Services,,,,,3.2,5,4,5,1,1
BSA,Conventional Electricity,,,,,4.4,3,4,5,5,5
BSC,Specialty Retailers,,,,,4.2,5,5,5,1,5
BSD,Brewers,,,,,2.0,4,2,2,1,1
BSG,Travel & Tourism,,,,,3.0,4,2,3,1,5
BSH,Brewers,,,,,5.0,5,5,5,5,5
BSI,Investment Services,,,,,5.0,5,5,5,5,5
BSL,Brewers,,,,,4.6,5,4,4,5,5
BSP,Brewers,,,,,4.2,5,3,3,5,5
BSQ,Brewers,,,,,3.8,4,2,3,5,5
BSR,Exploration & Production,,,,,5.0,5,5,5,5,5
BST,Publishing,,,,,5.0,5,5,5,5,5
