lmao,ticker,exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType
1,A32,UPCOM,Công ty 32,227.0,3765,Hàng cá nhân & Gia dụng,Personal & Household Goods,2008.0,1098.0,488.0,0.0,http://32jsc.com,,-0.095,0.152,0.354,6.8,6.8,CT
2,AAA,HOSE,An Phát Bioplastics,150.0,1353,Hóa chất,Chemicals,2002.0,2713.0,27697.0,0.025,https://anphatbioplastics.com,2.7,0.0,-0.113,-0.288,382.3,382.3,CT
3,AAM,HOSE,Thủy sản Mekong,217.0,3573,Thực phẩm và đồ uống,Food & Beverage,2002.0,159.0,0.0,0.01,http://www.mekongfish.vn,3.3,-0.001,-0.04,0.12,10.5,12.3,CT
4,AAS,UPCOM,Chứng khoán SmartInvest,300.0,8777,Dịch vụ tài chính,Financial Services,2006.0,43.0,5447.0,0.012,http://www.sisi.com.vn,3.0,-0.095,-0.258,-0.346,80.0,80.0,CK
5,AAT,HOSE,Tập đoàn Tiên Sơn Thanh Hóa,226.0,3763,Hàng cá nhân & Gia dụng,Personal & Household Goods,1995.0,1200.0,2431.0,0.003,http://tiensonaus.com,2.9,-0.171,-0.286,-0.413,63.8,63.8,CT
6,AAV,HNX,Việt Tiên Sơn Địa ốc,336.0,8633,Bất động sản,Real Estate,2010.0,39.0,7892.0,0.0,http://www.viettienson.com,2.4,0.043,-0.332,-0.528,69.0,69.0,CT
7,ABB,UPCOM,Ngân hàng An Bình,289.0,8355,Ngân hàng,Banks,1993.0,3614.0,5409.0,0.246,http://www.abbank.vn,2.6,-0.07,-0.135,-0.205,940.9,940.9,NH
8,ABC,UPCOM,Truyền thông VMG,269.0,6575,Viễn thông,Telecommunications,2006.0,180.0,663.0,0.009,https://vmgmedia.vn/home/index,2.6,-0.057,-0.255,-0.348,20.4,20.4,CT
9,ABI,UPCOM,BH NH Nông Nghiệp,292.0,8536,Bảo hiểm,Insurance,2006.0,748.0,0.0,0.092,http://www.abic.com.vn,2.6,0.095,0.081,-0.077,50.4,43.2,BH
10,ABR,HOSE,Đầu tư Nhãn Hiệu Việt,195.0,2791,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2012.0,10.0,513.0,0.488,http://www.vbinvest.com.vn,3.2,-0.016,0.05,-0.178,20.0,20.0,CT
11,ABS,HOSE,DV Nông nghiệp Bình Thuận,253.0,5379,Bán lẻ,Retail,2004.0,54.0,7471.0,0.0,http://www.bitagco.com,2.5,-0.185,-0.336,-0.444,80.0,80.0,CT
12,ABT,HOSE,Thủy sản Bến Tre,217.0,3573,Thực phẩm và đồ uống,Food & Beverage,1977.0,706.0,1032.0,0.017,http://www.aquatexbentre.com,3.0,-0.091,0.216,0.392,11.8,14.4,CT
13,ACB,HOSE,Ngân hàng Á Châu,289.0,8355,Ngân hàng,Banks,1993.0,11008.0,44011.0,0.3,http://www.acb.com.vn,3.2,0.001,0.088,0.137,3377.4,3377.4,NH
14,ACC,HOSE,Đầu tư và XD Bình Dương ACC,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2008.0,253.0,2386.0,0.083,http://www.becamexacc.com.vn,2.7,-0.102,-0.199,0.427,105.0,105.0,CT
15,ACE,UPCOM,Bê tông An Giang,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,1982.0,373.0,230.0,0.024,http://www.aceco.com.vn,,-0.016,0.065,0.369,3.1,3.1,CT
16,ACG,HOSE,Gỗ An Cường,155.0,1733,Tài nguyên Cơ bản,Basic Resources,2006.0,2959.0,477.0,0.386,https://www.ancuong.com,2.5,-0.116,-0.312,-0.13,135.8,135.8,CT
17,ACL,HOSE,Thủy sản CL An Giang,217.0,3573,Thực phẩm và đồ uống,Food & Beverage,1986.0,1074.0,0.0,0.032,http://www.clfish.com,2.8,-0.031,-0.191,-0.077,50.2,50.2,CT
18,ACM,UPCOM,Tập đoàn Khoáng sản Á Cường,166.0,1775,Tài nguyên Cơ bản,Basic Resources,1996.0,17.0,1448.0,0.016,http://www.acuonggroup.vn,,-0.016,-0.322,-0.48,51.0,51.0,CT
19,ACS,UPCOM,Xây lắp Thương mại 2,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2004.0,154.0,152.0,0.002,http://www.acsc.com.vn,,-0.164,-0.093,-0.305,4.0,4.0,CT
20,ACV,UPCOM,Cảng Hàng không VN,193.0,2777,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2012.0,0.0,8633.0,0.038,https://www.vietnamairport.vn,2.7,0.003,0.109,0.228,2177.0,2177.2,CT
21,ADC,HNX,Mĩ thuật và Truyền thông,256.0,5557,Truyền thông,Media,2006.0,354.0,208.0,0.086,http://adc.net.vn/,,0.187,0.039,0.343,4.0,4.0,CT
22,ADG,HOSE,Clever Group,255.0,5555,Truyền thông,Media,2008.0,166.0,761.0,0.457,https://clevergroup.vn,2.6,-0.049,-0.094,0.026,21.4,19.9,CT
23,ADP,UPCOM,Sơn Á Đông,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,1970.0,170.0,0.0,0.008,http://www.adongpaint.com.vn,2.5,-0.185,-0.229,0.033,23.0,23.0,CT
24,ADS,HOSE,Dệt sợi DAMSAN,226.0,3763,Hàng cá nhân & Gia dụng,Personal & Household Goods,2006.0,679.0,2933.0,0.01,http://damsanjsc.vn/en/,2.6,-0.136,-0.168,-0.334,43.8,43.8,CT
25,AFX,UPCOM,XNK Nông sản An Giang,248.0,5337,Bán lẻ,Retail,2011.0,239.0,751.0,0.0,http://www.afiex.com.vn,2.4,-0.007,0.095,0.128,35.0,35.0,CT
26,AG1,UPCOM,28.1 JSC,226.0,3763,Hàng cá nhân & Gia dụng,Personal & Household Goods,2006.0,632.0,196.0,0.001,http://www.agtex28-1.com,,-0.051,-0.037,-0.022,4.9,4.9,CT
27,AGE,UPCOM,Môi trường Đô thị An Giang,199.0,2799,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2011.0,686.0,0.0,0.0,http://www.moitruongdothi.angiang.org.vn,,0.096,-0.104,,19.9,19.9,CT
28,AGF,UPCOM,Thủy sản An Giang,217.0,3573,Thực phẩm và đồ uống,Food & Beverage,2001.0,1860.0,0.0,0.005,http://www.agifish.com.vn,1.6,0.09,-0.047,-0.2,28.1,28.1,CT
29,AGG,HOSE,Bất động sản An Gia,336.0,8633,Bất động sản,Real Estate,2012.0,207.0,4895.0,0.049,https://angia.com.vn/,2.8,0.041,0.072,0.287,111.7,111.7,CT
