,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,TCB,5,2021,9.7,1.9,,,0.217,0.036,,,,,5132,26452,0.057,0.28,0.007,1.629,0.022,0.164,0.268,0.301,0.2,,,0.465,,,,,,,,,6.1,,,,,,,,,,,0.554,0.497,0.665,0.611,1.104,0.603,0.004,0.382,5.1,0.004,,0.247,0.252
1,TCB,5,2020,9.0,1.5,,,0.181,0.03,,,,,3504,21214,0.049,0.307,0.005,1.71,0.031,0.17,0.269,0.319,0.2,,,0.221,,,,,,,,,5.9,,,,,,,,,,,0.542,0.465,0.681,0.631,1.0,0.68,0.003,0.372,4.9,0.013,,0.2,0.202
2,TCB,5,2019,8.2,1.3,,,0.178,0.029,,,,,2869,17679,0.043,0.323,0.013,0.948,0.038,0.162,0.269,0.347,0.2,,,0.191,,,,,,,,,6.2,,,,,,,,,,,0.52,0.485,0.649,0.602,0.998,0.651,0.008,0.411,5.2,0.002,,0.199,0.443
3,TCB,5,2018,10.7,1.8,,,0.215,0.029,,,,,2410,14749,0.041,0.379,0.018,0.851,0.041,0.161,0.324,0.318,0.2,,,0.313,,,,,,,,,6.2,,,,,,,,,,,0.542,0.462,0.537,0.498,0.794,0.676,0.009,0.531,5.2,0.008,,0.923,-0.006
4,TCB,5,2017,,,,,0.277,0.026,,,,,1835,7670,0.038,0.457,0.016,0.729,0.039,0.1,0.167,0.292,0.1,,,1.047,,,,,,,,,10.0,,,,,,,,,,,0.568,0.392,0.639,0.597,0.941,0.679,0.01,0.392,9.0,0.021,,0.375,0.128
5,TCB,5,2016,,,,,0.175,0.015,,,,,896,5578,0.041,0.317,0.016,0.666,0.04,0.083,0.137,0.358,0.1,,,1.059,,,,,,,,,12.0,,,,,,,,,,,0.506,0.264,0.647,0.606,0.822,0.787,0.01,0.377,11.0,0.026,,0.19,0.271
6,TCB,5,2015,,,,,0.097,0.008,,,,,435,4687,0.043,0.228,0.017,0.626,0.038,0.086,0.147,0.394,0.1,,,0.413,,,,,,,,,11.7,,,,,,,,,,,0.455,0.164,0.636,0.584,0.789,0.806,0.01,0.386,10.7,0.036,,0.098,0.397
7,TCB,5,2014,,,,,0.075,0.006,,,,,308,4268,0.039,0.162,0.024,0.501,0.048,0.085,0.187,0.472,0.1,,,0.641,,,,,,,,,11.7,,,,,,,,,,,0.403,0.154,0.51,0.457,0.61,0.836,0.011,0.501,10.7,0.033,,0.077,0.143
8,TCB,5,2013,,,,,0.048,0.004,,,,,187,3964,0.03,0.232,0.037,0.462,0.059,0.088,0.198,0.594,0.1,,,-0.139,,,,,,,,,11.4,,,,,,,,,,,0.305,0.117,0.509,0.442,0.586,0.869,0.016,0.493,10.4,0.02,,0.047,0.029
9,TCB,5,2012,,,,,0.059,0.004,,,,,218,3785,0.033,0.112,0.027,0.611,0.077,0.074,0.195,0.572,0.1,,,-0.757,,,,,,,,,13.5,,,,,,,,,,,0.322,0.133,0.45,0.379,0.612,0.734,0.01,0.534,12.5,0.018,,0.062,0.076
10,TCB,5,2011,,,,,0.288,0.019,,,,,898,3564,0.036,0.205,0.028,0.496,0.099,0.069,0.197,0.315,0.1,,,0.522,,,,,,,,,14.4,,,,,,,,,,,0.512,0.473,0.399,0.351,0.716,0.557,0.01,0.604,13.4,0.001,,0.333,0.199
11,TCB,5,2010,,,,,0.248,0.017,,,,,590,2674,0.029,0.325,0.023,0.505,0.073,0.062,0.177,0.336,0.1,,,0.219,,,,,,,,,16.0,,,,,,,,,,,0.501,0.439,0.396,0.352,0.657,0.603,0.008,0.607,15.0,0.006,,0.282,0.257
12,TCB,5,2009,,,,,0.263,0.022,,,,,484,2086,0.036,0.362,0.025,0.489,0.066,0.079,0.174,0.302,0.1,,,0.437,,,,,,,,,12.6,,,,,,,,,,,0.527,0.434,0.498,0.455,0.675,0.737,0.011,0.529,11.6,0.009,,0.302,0.598
13,TCB,5,2008,,,,,,0.024,,,,,336,1602,0.038,0.439,,,,0.095,0.214,0.29,0.1,,,1.318,,,,,,,,,10.5,,,,,,,,,,,0.52,0.377,0.482,0.446,0.665,0.725,,0.562,9.5,0.012,,0.574,0.286
14,TCB,5,2007,,,,,,0.018,,,,,145,1017,0.034,0.238,,,,0.09,0.174,0.35,0.1,,,0.987,,,,,,,,,11.1,,,,,,,,,,,0.467,0.42,0.54,0.518,0.837,0.645,,0.5,10.1,0.005,,1.028,1.356
15,TCB,5,2006,,,,,,0.018,,,,,73,501,0.034,0.252,,,,0.102,0.203,0.367,0.1,,,0.246,,,,,,,,,9.8,,,,,,,,,,,0.456,0.42,0.529,0.502,0.909,0.582,,0.513,8.8,0.004,,0.745,0.643
16,TCB,5,2005,,,,,,0.022,,,,,58,287,0.041,0.203,,,,0.095,0.191,0.351,0.1,,,1.669,,,,,,,,,10.6,,,,,,,,,,,0.468,0.468,0.519,0.496,0.854,0.608,,0.526,9.6,0.022,,0.96,0.527
17,TCB,5,2004,,,,,,0.012,,,,,21,146,0.031,0.195,,,,0.067,0.149,0.408,0.1,,,1.537,,,,,,,,,14.9,,,,,,,,,,,0.427,0.351,0.522,0.452,0.753,0.693,,0.48,13.9,0.004,,1.466,0.509
18,TCB,5,2003,,,,,,0.006,,,,,8,59,0.026,0.222,,,,0.038,0.091,0.369,0.0,,,4.698,,,,,,,,,26.4,,,,,,,,,,,0.456,0.213,0.505,0.417,0.877,0.576,,0.605,25.4,0.001,,0.595,0.211
