index,ticker,shortAsset,cash,shortInvest,shortReceivable,inventory,longAsset,fixedAsset,asset,debt,shortDebt,longDebt,equity,capital,centralBankDeposit,otherBankDeposit,otherBankLoan,stockInvest,customerLoan,badLoan,provision,netCustomerLoan,otherAsset,otherBankCredit,oweOtherBank,oweCentralBank,valuablePaper,payableInterest,receivableInterest,deposit,otherDebt,fund,unDistributedIncome,minorShareHolderProfit,payable
2022-Q3,TCB,,3026,,,,,7282,671354,561454,,,109899,35172,4709,65183,7215,104673,410546,2665.0,-4397,406148,71795,68284,110868,6,42858,4750,8681,318919,42858,9151,64059,1032,561454
2022-Q2,TCB,,3204,,,,,7220,623739,519263,,,104475,35109,4814,57270,14962,98072,391824,2359.0,-4049,387775,49269,57307,83894,2,37122,3375,8072,321634,37122,9152,58761,963,519263
2022-Q1,TCB,,3277,,,,,7265,615270,516684,,,98586,35109,8999,58126,14405,124013,365743,2442.0,-3927,361815,35820,60349,77649,223,32731,3369,7253,328914,32731,9156,52958,884,516684
2021-Q4,TCB,,3579,,,,,7224,568811,475756,,,93056,35109,4909,39520,31065,102670,347341,2294.0,-3736,343606,34724,45606,66853,1,33680,3098,5808,314753,33680,9156,47469,845,475756
2021-Q3,TCB,,3303,,,,,7106,541635,453251,,,88384,35109,3395,51058,26570,99347,321042,1829.0,-3373,317669,31920,31079,59269,15,34003,3074,6224,316376,34003,6784,45261,753,453251
2021-Q2,TCB,,3554,,,,,6739,504304,420403,,,83901,35049,4405,31310,20775,95560,313514,1118.0,-2896,310618,30041,43861,46781,0,27678,2643,5736,289335,27678,6790,40924,659,420403
2021-Q1,TCB,,4273,,,,,4726,462823,383730,,,79093,35049,1764,22454,15907,91447,296290,1135.0,-2491,293799,27336,24610,34409,2,26035,2897,5664,287446,26035,6790,36213,563,383730
2020-Q4,TCB,,3664,,,,,4613,439603,364988,,,74615,35049,10253,21113,7882,92807,277525,1295.0,-2214,275310,22836,21232,26253,0,27900,3252,5185,277459,27900,6790,31816,484,364988
2020-Q3,TCB,,4205,,,,,4273,401462,330853,,,70608,35001,9729,22303,4294,104978,230716,1384.0,-2048,228668,21878,16856,25603,0,22785,3736,5988,252572,22785,5172,29503,457,330853
2020-Q2,TCB,,4106,,,,,4126,395861,328432,,,67429,35001,8845,36014,9271,78908,231666,2100.0,-2280,229385,24063,16727,26851,0,23404,3928,5598,249857,23404,5173,26404,376,328432
2020-Q1,TCB,,4151,,,,,3493,391808,327217,,,64591,35001,5284,26564,4426,95839,232021,2530.0,-2983,229038,21862,36325,26601,1004,17472,3613,6614,235099,17472,5173,23587,340,327217
2019-Q4,TCB,,4821,,,,,3208,383699,321627,,,62073,35001,3192,38596,9394,76108,230802,3078.0,-2917,227885,19334,38632,22634,0,17461,3479,5554,231297,17461,5173,21130,292,321627
2019-Q3,TCB,,5409,,,,,3504,367538,308598,,,58941,34966,6564,28820,14484,89558,205317,3704.0,-2855,202462,15567,48419,10438,2000,14489,3542,5112,218655,14489,3858,19439,201,308598
2019-Q2,TCB,,5034,,,,,3439,360662,304296,,,56366,34966,9326,33026,9761,103390,185432,3302.0,-2545,182887,12620,47003,9960,3063,12642,3797,4649,220263,12642,3866,16885,173,304296
2019-Q1,TCB,,4785,,,,,3104,326112,272237,,,53875,34966,5330,33454,12356,93080,163835,2924.0,-2563,161272,11542,31159,7484,2699,12866,3498,4739,207978,12866,3868,14486,79,272237
2018-Q4,TCB,,2606,,,,,1719,321049,269267,,,51783,34966,10555,24226,11390,94097,159942,2803.0,-2385,157557,17703,28973,7452,6025,13178,3425,5738,201471,13178,3868,12403,69,269267
2018-Q3,TCB,,4042,,,,,1586,311796,262315,,,49481,34966,5583,27667,16070,74589,166939,3428.0,-2657,164282,16772,29389,10183,2000,17240,3563,6036,193583,17240,2651,11388,0,262315
2018-Q2,TCB,,3590,,,,,1489,300405,252975,,,47429,11655,3212,37976,13345,61988,166700,3396.0,-2519,164181,13410,27935,9771,2000,18904,3079,4672,186283,18904,6148,15156,0,252975
2018-Q1,TCB,,3671,,,,,1483,273153,235537,,,37616,11655,3524,16918,15067,57090,163948,3068.0,-2338,161611,12448,17873,7528,2000,20074,2861,4400,181391,20074,6148,13055,0,235537
2017-Q4,TCB,,2344,,,,,1511,269392,242462,,,26931,11655,4318,16205,13913,58310,160849,2584.0,-1885,158964,12542,21274,25049,1000,17640,2764,3877,170971,17640,6157,10997,0,242462
2017-Q3,TCB,,3137,,,,,1461,233502,214069,,,19433,8878,3605,10636,11002,53600,137373,2657.0,-1807,135565,13151,17205,10851,2000,11495,2938,5728,166323,11495,5219,9380,0,214069
2017-Q2,TCB,,2873,,,,,1473,232342,210591,,,21751,8878,7044,8753,12436,56433,131884,2716.0,-1726,130159,11835,14733,6149,1000,10320,2888,5231,172103,10320,5219,7673,0,210591
2017-Q1,TCB,,3179,,,,,1529,232522,211870,,,20653,8878,4127,10918,10278,55154,137747,2601.0,-1572,136175,9837,10572,6345,432,10397,2426,4440,178623,10397,5219,6548,0,211870
2016-Q4,TCB,,2957,,,,,1583,235363,215731,,,19632,8878,2534,9059,12540,54277,142616,2246.0,-1495,141121,9996,15115,9771,1448,10415,2195,3989,173449,10415,5223,5531,0,215731
2016-Q3,TCB,,2930,,,,,1513,222770,204027,,,18743,8878,6019,4123,8062,53547,135602,2460.0,-1566,134036,10955,20307,5292,0,9842,2353,4758,163515,9842,4745,5125,0,204027
2016-Q2,TCB,,2840,,,,,1562,212676,194941,,,17736,8878,3433,7615,10396,48956,127737,2385.0,-1428,126309,9949,23088,8011,0,8048,2488,4365,150033,8048,4745,4102,0,194941
2016-Q1,TCB,,2750,,,,,880,199003,182047,,,16957,8878,4217,6042,10960,49311,114024,2322.0,-1288,112736,10436,13031,7503,0,8103,2283,3362,148817,8103,4745,3310,0,182047
2015-Q4,TCB,,2754,,,,,882,192009,175481,,,16528,8878,1603,7487,7275,47490,111626,1864.0,-1164,110461,12355,8079,12667,0,8134,2087,3047,142240,8134,4753,2897,0,175481
2015-Q3,TCB,,2758,,,,,931,175217,159056,,,16161,8878,3896,7407,5767,47929,93925,2133.0,-1129,92796,11988,6814,5251,0,6395,1982,3874,136631,6395,4549,2740,0,159056
2015-Q2,TCB,,2559,,,,,975,172744,156989,,,15755,8878,1279,8913,10359,45728,90900,2167.0,-1023,89877,11647,8674,9243,0,6477,1901,3590,129016,6477,4550,2337,0,156989
2015-Q1,TCB,,2495,,,,,1011,179100,163806,,,15294,8878,4652,7004,10549,51209,88720,2286.0,-1108,87613,13197,11564,15248,203,6442,1829,3278,126886,6442,4550,1858,0,163806
2014-Q4,TCB,,2724,,,,,1037,175915,160916,,,15000,8878,1168,9588,9344,57759,80308,1914.0,-960,79348,13569,7847,11625,0,6254,1908,3341,131438,6254,4552,1570,0,160916
2014-Q3,TCB,,2277,,,,,996,170768,155946,,,14822,8878,2735,11505,6474,59921,71489,2116.0,-956,70533,15030,11981,12883,0,5571,1665,4692,121733,5571,4371,1572,0,155946
2014-Q2,TCB,,2469,,,,,1022,171081,156420,,,14661,8878,2067,9795,6782,59175,74022,3049.0,-1122,72900,15509,8808,12699,0,4619,2265,5430,124743,4619,0,1410,0,156420
2014-Q1,TCB,,2123,,,,,981,164135,149686,,,14449,8878,699,8609,5393,57873,71858,3303.0,-1275,70583,16486,6790,9407,0,4659,2309,5508,124014,4659,4372,1194,0,149686
2013-Q4,TCB,,2291,,,,,1033,158897,144977,,,13920,8878,2831,11857,3599,50894,70275,2566.0,-1186,69089,15917,4565,10660,0,5643,1861,5257,119978,5643,4370,672,0,144977
2013-Q3,TCB,,2421,,,,,1069,165879,152031,,,13848,8848,3770,24707,2409,44080,69952,4146.0,-1546,68406,17719,10788,13898,0,4536,1734,5637,117236,4536,4279,718,0,152031
2013-Q2,TCB,,2999,,,,,1033,171394,157611,,,13783,8848,5447,24337,1362,45451,69865,3690.0,-1272,68593,20764,15205,18785,0,6670,2151,6986,111591,6670,4279,627,0,157611
2013-Q1,TCB,,3669,,,,,1125,175863,162188,,,13675,8848,3753,22030,3113,49013,68436,2407.0,-1448,66989,24776,14600,19603,0,7646,1901,5874,114096,7646,3476,1355,0,162188
2012-Q4,TCB,,4529,,,,,1146,179733,166443,,,13290,8848,5577,21114,10196,47516,68261,,-1127,67134,21204,14921,24250,0,10451,1783,5074,111462,10451,3475,966,0,166443
