index,ticker,shortAsset,cash,shortInvest,shortReceivable,inventory,longAsset,fixedAsset,asset,debt,shortDebt,longDebt,equity,capital,centralBankDeposit,otherBankDeposit,otherBankLoan,stockInvest,customerLoan,badLoan,provision,netCustomerLoan,otherAsset,otherBankCredit,oweOtherBank,oweCentralBank,valuablePaper,payableInterest,receivableInterest,deposit,otherDebt,fund,unDistributedIncome,minorShareHolderProfit,payable
2022-Q3,VIC,269409,26450,2197,129462,85751,286162,114594,555571,418346,62820,109703,137225,38689,,,,,,,,,,,,,,,,,67744,,0.0,26462,418346
2022-Q2,VIC,257500,42209,6097,104422,80978,271458,113397,528958,396914,45924,110949,132044,38689,,,,,,,,,,,,,,,,,69290,,0.0,26380,396914
2022-Q1,VIC,169507,15242,3649,83586,52375,271860,127068,441367,306808,30199,109349,134558,38689,,,,,,,,,,,,,,,,,38682,,0.0,32215,306808
2021-Q4,VIC,163351,19653,6758,74343,50910,263973,130455,427324,268177,20035,102180,159147,38676,,,,,,,,,,,,,,,,,39344,,0.0,59500,268177
2021-Q3,VIC,180400,21263,7602,83793,55382,253202,123391,433603,269306,26629,102281,164297,38676,,,,,,,,,,,,,,,,,31515,,0.0,64865,269306
2021-Q2,VIC,167654,23303,10328,64859,56697,251294,126707,418948,274561,32767,105406,144388,34448,,,,,,,,,,,,,,,,,30163,,0.0,55154,274561
2021-Q1,VIC,162829,23042,5969,59565,62788,257004,125040,419833,280058,34038,98827,139774,34448,,,,,,,,,,,,,,,,,38911,,0.0,58523,280058
2020-Q4,VIC,164454,28176,11764,55765,57225,259814,125080,424268,288511,26849,98309,135757,34448,,,,,,,,,,,,,,,,,46558,,0.0,56770,288511
2020-Q3,VIC,182769,30289,4988,58665,72028,247242,120698,430011,305459,30629,107564,124552,34448,,,,,,,,,,,,,,,,,53129,,0.0,42456,305459
2020-Q2,VIC,185917,26969,871,62466,82724,241267,119489,427184,303487,42123,96281,123697,34448,,,,,,,,,,,,,,,,,50042,,0.0,42509,303487
2020-Q1,VIC,189222,11000,9483,60437,84452,224391,114067,413613,291501,42353,83793,122112,34448,,,,,,,,,,,,,,,,,50330,,0.0,44294,291501
2019-Q4,VIC,201493,18489,10420,68076,83273,207079,108679,408573,287972,31045,86481,120601,34309,,,,,,,,,,,,,,,,,50468,,0.0,44172,287972
