index,ticker,investCost,fromInvest,fromFinancial,fromSale,freeCashFlow
2022-Q3,TCB,-212,-205,63,15950,0
2022-Q2,TCB,-65,-62,0,-4020,0
2022-Q1,TCB,-113,-111,-73,24408,0
2021-Q4,TCB,-280,-276,0,-9328,0
2021-Q3,TCB,-180,-179,60,17974,0
2021-Q2,TCB,-337,-282,0,11205,0
2021-Q1,TCB,-143,-143,0,-6954,0
2020-Q4,TCB,-268,-263,-137,-479,0
2020-Q3,TCB,-157,-157,0,-12204,0
2020-Q2,TCB,-61,-56,-37,-1274,0
2020-Q1,TCB,-195,-194,0,3884,0
2019-Q4,TCB,-84,-79,-2165,1959,0
2019-Q3,TCB,-54,-45,-1000,797,0
2019-Q2,TCB,-110,-109,12,3717,0
2019-Q1,TCB,-10,11,58,6253,0
2018-Q4,TCB,-215,-215,58,-5302,0
2018-Q3,TCB,-128,-128,-1508,-5810,0
2018-Q2,TCB,-28,-34,6518,19534,0
2018-Q1,TCB,-15,884,8632,-8163,0
2017-Q4,TCB,-110,-105,4800,1506,0
2017-Q3,TCB,-51,-51,-4043,2862,0
2017-Q2,TCB,-6,-5,16,-1675,0
2017-Q1,TCB,-9,917,-8,4385,0
2016-Q4,TCB,-136,-134,0,1381,0
2016-Q3,TCB,-14,-14,0,-977,0
2016-Q1,TCB,-56,-57,0,-6851,0
2015-Q4,TCB,-46,23,0,-5688,0
2015-Q3,TCB,-20,37,0,455,0
2015-Q2,TCB,-25,-18,0,6506,0
2015-Q1,TCB,-33,-33,0,-8160,0
2014-Q4,TCB,-122,-631,0,-5217,0
2014-Q3,TCB,-33,-29,0,5048,0
2014-Q2,TCB,-28,-19,0,2291,0
2014-Q1,TCB,-5,-11,0,-350,0
2013-Q4,TCB,-198,-201,0,-8213,0
2013-Q3,TCB,-66,-93,0,2271,0
2013-Q2,TCB,-25,-16,0,2008,0
2013-Q1,TCB,-35,-29,0,-1153,0
2012-Q3,TCB,-66,-1391,0,-2139,0
