index,ticker,investCost,fromInvest,fromFinancial,fromSale,freeCashFlow
2022-Q3,VIC,-24119,-12805,13183,-16123,4695
2022-Q2,VIC,-20594,-5152,13147,18959,-39117
2022-Q1,VIC,-18425,-11431,10083,-1762,-14630
2021-Q4,VIC,-9389,-9655,-1884,9930,1470
2021-Q3,VIC,-18954,5822,1713,-9577,-1114
2021-Q2,VIC,-5608,-11568,8113,3717,12063
2021-Q1,VIC,-6988,-5301,11605,-12666,17763
2020-Q4,VIC,-7777,-4364,-9482,11734,-22683
2020-Q3,VIC,-7957,-6572,698,9192,-7935
2020-Q2,VIC,-397,1028,8131,6812,9456
2020-Q1,VIC,-11291,-7013,9675,-10109,5853
2019-Q4,VIC,-16555,-31138,24972,8127,-48605
2019-Q3,VIC,-18195,-1228,284,-6074,-4302
2019-Q2,VIC,-6601,-9314,21460,3957,3198
2019-Q1,VIC,-19085,-23652,10927,6610,-23831
2018-Q4,VIC,-9859,-10597,17905,-9692,-18302
2018-Q3,VIC,-13068,-17155,17030,2763,-10408
2018-Q2,VIC,-8658,-618,11157,-4782,3499
2018-Q1,VIC,-10870,-29079,23289,5196,-8194
2017-Q4,VIC,-9394,-13067,401,14329,-18288
2017-Q3,VIC,-4004,-4831,2914,-667,1141
2017-Q2,VIC,-6307,-12600,-823,9254,-11626
2017-Q1,VIC,-2345,408,4646,-1188,2957
2016-Q4,VIC,-3430,13844,-14211,684,-10568
2016-Q3,VIC,-1404,-4727,5685,3820,-1444
2016-Q2,VIC,-4973,1125,-1676,742,-2613
2016-Q1,VIC,-2442,-5802,3529,13,1068
2015-Q4,VIC,-2612,-18209,5271,10679,-38210
2015-Q3,VIC,-4433,-8384,-1257,10707,-13896
2015-Q2,VIC,-4550,-6658,3452,6633,-8318
2015-Q1,VIC,-3787,-6947,3365,1375,-2583
2014-Q4,VIC,-5687,525,-6849,8723,-13716
2014-Q3,VIC,-723,-2852,1241,99,-2702
2014-Q2,VIC,-5887,-8850,4648,2789,8047
2014-Q1,VIC,-807,-2862,3305,157,-8781
2013-Q4,VIC,-4074,-11704,7786,5182,4629
2013-Q3,VIC,-2191,-3314,450,6747,-5232
2013-Q2,VIC,-3725,2146,-4282,347,2147
2013-Q1,VIC,-646,2885,1299,-1626,2846
2012-Q4,VIC,1698,315,2364,-4461,1160
2012-Q4,VIC,1698,315,2364,-4461,1160
2012-Q3,VIC,-1070,-1338,1736,-504,3633
2012-Q2,VIC,-719,1154,4581,-3238,-1145
2012-Q1,VIC,-579,-2082,-1000,2857,-5310
2011-Q4,VIC,631,-479,1003,-186,-2824
2011-Q4,VIC,631,-479,1003,-186,-2824
2011-Q3,VIC,-2015,-645,-1862,3208,401
2011-Q2,VIC,98,-341,-1550,1434,899
2011-Q1,VIC,-1327,-1068,219,-17,-709
2010-Q4,VIC,-4667,-5567,5694,-39,2307
2010-Q4,VIC,-4667,-5567,5694,-39,807
2010-Q2,VIC,-2348,-1515,1957,-911,-291
2010-Q1,VIC,-1292,-1252,326,-253,-291
2009-Q1,VIC,-168,-90,121,-14,-2008
