ticker,stockRating,valuation,financialHealth,businessModel,businessOperation,rsRating,taScore,highestPrice,lowestPrice,priceChange3m,priceChange1y,beta,alpha
A32,,4.0,2.6,3.5,2.1,,,34031.0,24314.7,0.068,0.097,-0.01,0.0008
AAA,2.6,3.6,4.0,3.2,2.6,1.4,1.0,22800.0,5690.0,-0.338,-0.559,1.53,-0.0013
AAM,3.3,3.6,5.0,,1.1,3.4,,17900.0,9290.0,-0.041,-0.071,0.44,0.0007
AAS,2.9,4.0,5.0,2.8,2.9,1.8,1.0,35528.0,7066.0,-0.39,-0.64,1.33,-0.0014
AAT,2.9,4.0,4.8,3.0,2.8,1.5,1.0,18866.3,4800.0,-0.473,-0.676,0.85,-0.003
AAV,2.4,2.3,3.8,3.5,2.9,1.0,1.0,24734.7,2800.0,-0.354,-0.775,1.91,-0.0026
ABB,2.6,4.3,2.2,3.0,3.0,2.2,1.0,18095.0,6179.0,-0.248,-0.463,0.87,-0.0011
ABC,2.6,3.5,3.8,3.5,1.0,1.0,,15572.0,4543.0,-0.522,-0.663,0.21,-0.0034
ABI,2.5,2.1,4.0,3.0,3.9,1.2,1.0,51726.3,27676.4,-0.129,-0.306,0.54,-0.0007
ABR,3.2,3.4,4.2,3.5,4.0,1.0,,29500.0,8660.0,-0.22,-0.561,0.19,-0.0028
ABS,2.4,3.3,3.2,3.0,2.3,1.7,1.0,29123.3,5160.0,-0.434,-0.722,1.45,-0.0031
ABT,2.9,3.6,4.4,3.0,1.7,3.8,1.0,41700.0,28000.0,0.005,0.095,0.35,0.0011
ACB,3.2,2.9,3.6,3.9,4.4,3.1,1.0,28600.0,17500.0,-0.029,-0.135,1.05,0.001
ACC,2.8,2.1,3.8,3.5,2.0,4.1,1.0,24834.2,10400.0,-0.329,-0.048,0.75,0.0012
ACE,,3.5,3.2,,2.5,,,49400.0,29209.8,0.062,0.275,-0.08,0.0018
ACG,2.5,3.1,4.8,,2.0,1.7,1.0,72471.2,33400.0,-0.481,-0.473,0.55,-0.0022
ACL,2.8,4.4,4.0,3.0,2.1,2.1,1.0,33150.0,8640.0,-0.406,-0.304,1.09,0.0005
ACM,,2.0,2.8,,1.1,,,3700.0,600.0,-0.361,-0.729,0.38,-0.004
ACS,,2.3,2.0,,1.9,,,16500.0,5500.0,0.124,-0.339,0.21,0.0001
ACV,2.6,1.0,4.8,3.0,2.2,2.6,2.0,96536.0,72756.0,-0.009,0.035,0.37,0.0007
ADC,,4.3,3.8,,2.8,,,27665.1,14900.0,-0.153,-0.283,0.03,-0.0005
ADG,2.6,1.6,4.6,3.3,2.0,2.9,1.0,49765.7,27100.0,-0.315,-0.372,0.52,-0.0009
ADP,2.5,3.3,4.2,3.0,2.2,1.6,1.0,26198.2,14914.0,-0.307,-0.367,0.38,-0.0003
ADS,2.5,4.3,3.2,3.0,2.6,1.1,1.0,33997.5,9050.0,-0.335,-0.661,1.08,-0.0026
AFX,2.4,2.5,3.4,3.0,1.9,1.7,2.0,17982.0,12190.0,-0.067,-0.129,0.23,-0.0001
AG1,,4.3,3.6,,1.1,,,8005.0,4400.0,-0.144,-0.369,-0.05,-0.0011
AGE,,2.5,3.6,,1.5,,,18270.6,9876.0,-0.288,0.316,-0.17,0.0045
AGF,1.6,2.5,2.0,,1.0,,1.0,4916.0,1900.0,-0.252,-0.539,0.06,-0.0027
AGG,2.8,3.0,4.2,3.6,2.6,2.4,1.0,47545.9,28636.7,-0.046,0.0,0.31,0.0003
AGM,2.6,3.5,2.2,3.0,3.1,2.9,1.0,62000.0,9290.0,-0.558,-0.71,0.64,-0.0036
AGP,3.1,3.5,3.2,3.5,3.0,2.3,,22876.0,17103.0,-0.06,0.087,0.19,0.0008
AGR,2.4,2.5,4.0,2.3,2.9,1.7,1.0,25650.0,5760.0,-0.279,-0.664,1.72,-0.0015
AGX,3.0,3.6,3.2,3.5,2.6,2.2,,36661.4,30253.5,-0.04,0.003,0.09,0.0002
AIC,2.6,2.3,3.6,,2.4,3.6,1.0,15687.0,7266.0,-0.216,-0.457,0.69,-0.0013
ALT,2.8,3.0,5.0,,1.9,,1.5,26141.4,15500.0,-0.276,-0.106,0.47,0.0017
ALV,,5.0,4.2,,2.5,,,14617.0,2636.0,-0.372,-0.595,0.83,-0.0012
AMC,,3.8,4.4,,2.0,,,26769.9,19939.0,-0.043,0.007,0.06,0.0005
AMD,2.0,3.5,3.2,1.4,1.3,1.3,1.0,10300.0,870.0,-0.461,-0.816,1.51,-0.0046
AME,2.7,2.5,2.6,3.5,3.2,3.2,1.0,15900.0,9700.0,-0.028,-0.07,0.16,0.0005
AMP,,2.8,2.4,3.5,1.2,,,19500.0,9500.0,0.147,-0.441,-0.04,-0.0021
AMS,2.9,3.8,2.6,3.5,2.9,3.6,1.0,17016.0,5572.0,-0.187,-0.594,0.76,-0.0025
AMV,3.1,3.9,5.0,3.5,4.3,1.1,1.0,18369.4,2700.0,-0.493,-0.779,1.62,-0.0023
ANT,,3.8,2.2,,2.1,,,20848.0,7900.0,-0.373,-0.619,0.4,-0.0025
ANV,2.8,3.8,3.4,3.0,2.9,2.6,1.0,61559.7,16100.0,-0.507,-0.273,1.29,0.0011
APC,2.5,3.3,3.8,3.6,2.0,1.3,1.0,30750.0,12000.0,-0.209,-0.429,0.66,-0.0012
APF,3.0,4.3,3.6,3.0,2.8,3.4,1.0,72821.0,46568.6,-0.089,0.179,0.27,0.0011
APG,3.0,3.1,5.0,3.0,3.8,1.3,2.0,20700.0,2520.0,-0.182,-0.695,1.7,-0.0019
APH,2.2,3.3,3.6,3.0,1.2,1.2,1.0,30720.0,5550.0,-0.358,-0.739,1.54,-0.0028
API,2.6,3.0,3.6,3.5,2.8,1.7,1.0,37723.5,5400.0,-0.415,-0.682,2.05,-0.0005
APL,,2.8,2.2,,1.6,,,27564.8,17168.4,0.0,0.256,0.01,0.0013
APP,,3.5,3.2,,1.7,,,16200.0,4700.0,-0.293,-0.569,0.35,-0.0017
APS,2.8,3.4,4.2,3.0,3.9,1.2,1.0,40900.0,4200.0,-0.255,-0.721,2.45,-0.0002
